Logan V48.39
rawFileName=C:\MinimaxData\rover39922 2002070854.raw
From=0.0, To=7:09.6
Time,Dist,AvVel,AvStkRate,#Strokes
11.540,50.00,4.33,44.87,8
9.351,100.00,5.35,41.15,6
9.396,150.00,5.32,39.42,6
9.575,200.00,5.22,38.02,6
9.815,250.00,5.09,36.86,6
9.961,300.00,5.02,36.50,6
10.164,350.00,4.92,35.97,6
10.335,400.00,4.84,35.29,6
10.389,450.00,4.81,34.80,6
10.412,500.00,4.80,34.82,7
10.534,550.00,4.75,34.60,6
10.605,600.00,4.71,34.21,6
10.581,650.00,4.73,34.52,6
10.620,700.00,4.71,34.05,6
10.616,750.00,4.71,34.25,6
10.647,800.00,4.70,34.36,6
10.737,850.00,4.66,34.09,6
10.764,900.00,4.65,33.41,6
10.855,950.00,4.61,33.90,6
10.990,1000.00,4.55,33.00,6
11.097,1050.00,4.51,32.68,6
11.038,1100.00,4.53,32.22,6
11.125,1150.00,4.49,32.26,6
11.165,1200.00,4.48,32.09,6
11.170,1250.00,4.48,32.26,6
11.099,1300.00,4.50,32.02,6
11.075,1350.00,4.51,32.12,6
11.048,1400.00,4.53,32.43,6
11.036,1450.00,4.53,32.64,6
11.039,1500.00,4.53,32.19,6
10.964,1550.00,4.56,31.95,6
10.990,1600.00,4.55,31.70,5
11.129,1650.00,4.49,31.65,6
11.244,1700.00,4.45,31.15,6
11.186,1750.00,4.47,31.58,6
11.245,1800.00,4.45,31.25,6
11.351,1850.00,4.40,31.28,6
10.886,1900.00,4.59,33.41,6
10.853,1950.00,4.61,34.32,6
10.974,2000.00,4.56,34.48,6
