Logan V48.39
rawFileName=C:\MinimaxData\rover39922 2002071039.raw
From=0.0, To=7:05.8
Time,Dist,AvVel,AvStkRate,#Strokes
11.262,50.00,4.44,46.31,8
9.307,100.00,5.37,40.82,6
9.682,150.00,5.16,37.36,6
10.033,200.00,4.98,34.48,6
10.149,250.00,4.93,33.57,5
10.384,300.00,4.82,33.26,6
10.402,350.00,4.81,33.15,6
10.317,400.00,4.85,32.65,5
10.577,450.00,4.73,32.54,6
10.628,500.00,4.70,32.40,6
10.537,550.00,4.75,32.64,6
10.633,600.00,4.70,32.21,5
10.811,650.00,4.62,32.26,6
10.959,700.00,4.56,31.81,6
10.800,750.00,4.63,31.35,6
10.796,800.00,4.63,31.87,5
10.921,850.00,4.58,31.51,6
10.858,900.00,4.60,31.88,6
10.796,950.00,4.63,31.78,6
10.982,1000.00,4.55,31.41,5
11.096,1050.00,4.51,31.09,6
10.811,1100.00,4.62,31.28,6
10.781,1150.00,4.64,31.05,5
11.118,1200.00,4.50,30.36,6
10.815,1250.00,4.62,30.69,5
10.827,1300.00,4.62,31.71,6
11.031,1350.00,4.53,31.28,6
10.801,1400.00,4.63,31.06,6
10.825,1450.00,4.62,31.09,5
10.875,1500.00,4.60,30.93,6
11.021,1550.00,4.54,29.81,5
11.290,1600.00,4.43,29.13,6
10.906,1650.00,4.58,30.89,5
10.476,1700.00,4.77,33.30,6
10.593,1750.00,4.72,34.17,6
10.422,1800.00,4.80,34.80,6
10.547,1850.00,4.74,34.72,6
10.375,1900.00,4.82,35.09,6
10.392,1950.00,4.81,37.15,7
9.925,2000.00,5.04,38.46,6
