Logan V48.39
rawFileName=C:\MinimaxData\rover39886 2002080908.raw
From=0.0, To=8:07.3
Time,Dist,AvVel,AvStkRate,#Strokes
12.493,50.00,4.00,41.50,8
10.557,100.00,4.74,36.50,6
11.120,150.00,4.50,33.48,6
11.309,200.00,4.42,32.75,6
11.593,250.00,4.31,31.91,7
11.860,300.00,4.22,31.95,6
11.677,350.00,4.28,32.19,6
11.744,400.00,4.26,32.70,7
11.756,450.00,4.25,32.89,6
11.749,500.00,4.26,32.33,6
12.127,550.00,4.12,32.11,7
12.010,600.00,4.16,32.02,6
12.111,650.00,4.13,31.94,7
12.196,700.00,4.10,31.81,6
12.330,750.00,4.06,32.11,7
12.224,800.00,4.09,32.05,6
12.275,850.00,4.07,31.86,7
12.277,900.00,4.07,32.47,6
12.333,950.00,4.05,32.43,7
12.278,1000.00,4.07,32.23,7
12.540,1050.00,3.99,31.98,6
12.452,1100.00,4.02,32.49,7
12.446,1150.00,4.02,32.32,7
12.325,1200.00,4.06,32.40,6
12.561,1250.00,3.98,32.49,7
12.668,1300.00,3.95,32.20,7
12.711,1350.00,3.93,32.37,7
12.544,1400.00,3.99,32.23,7
12.522,1450.00,3.99,31.91,6
12.757,1500.00,3.92,31.61,7
12.501,1550.00,4.00,32.43,7
12.060,1600.00,4.15,33.11,6
12.419,1650.00,4.03,33.09,7
12.602,1700.00,3.97,32.46,7
12.595,1750.00,3.97,32.46,7
12.096,1800.00,4.13,33.09,7
12.282,1850.00,4.07,33.30,6
12.546,1900.00,3.99,33.06,7
12.500,1950.00,4.00,32.85,7
12.187,2000.00,4.10,32.55,7
