Logan V48.39
rawFileName=C:\MinimaxData\rover39787 2002080850.raw
From=0.0, To=7:22.1
Time,Dist,AvVel,AvStkRate,#Strokes
11.867,50.00,4.21,42.30,7
9.471,100.00,5.28,41.52,7
9.683,150.00,5.16,39.79,6
10.051,200.00,4.97,37.54,7
10.427,250.00,4.80,36.23,6
10.443,300.00,4.79,36.19,6
10.566,350.00,4.73,35.97,6
10.726,400.00,4.66,34.22,7
10.830,450.00,4.62,34.52,6
10.985,500.00,4.55,34.29,6
11.008,550.00,4.54,34.21,6
11.300,600.00,4.42,33.93,7
11.111,650.00,4.50,33.90,6
11.027,700.00,4.53,33.90,6
11.027,750.00,4.53,33.33,6
11.370,800.00,4.40,33.33,7
11.274,850.00,4.44,33.67,6
11.406,900.00,4.38,32.97,6
11.348,950.00,4.41,32.76,7
11.461,1000.00,4.36,32.79,6
11.441,1050.00,4.37,32.75,6
11.385,1100.00,4.39,32.50,6
11.228,1150.00,4.45,32.22,6
11.279,1200.00,4.43,32.22,6
11.430,1250.00,4.37,32.40,6
11.519,1300.00,4.34,32.43,7
11.278,1350.00,4.43,32.61,6
11.299,1400.00,4.43,32.19,6
11.281,1450.00,4.43,32.61,6
11.326,1500.00,4.41,32.40,6
11.352,1550.00,4.40,32.61,6
11.324,1600.00,4.42,32.64,6
11.395,1650.00,4.39,33.03,7
11.354,1700.00,4.40,32.82,6
10.970,1750.00,4.56,33.98,6
10.888,1800.00,4.59,34.88,6
10.956,1850.00,4.56,35.86,7
10.985,1900.00,4.55,35.21,6
11.108,1950.00,4.50,35.43,7
10.949,2000.00,4.57,36.36,7
