Logan V48.39
rawFileName=C:\MinimaxData\rover56776 2002080951.raw
From=0.0, To=6:46.7
Time,Dist,AvVel,AvStkRate,#Strokes
11.876,50.00,4.21,46.31,8
8.857,100.00,5.65,45.34,7
9.090,150.00,5.50,43.86,6
9.382,200.00,5.33,42.30,7
9.348,250.00,5.35,40.98,6
9.716,300.00,5.15,40.40,7
9.682,350.00,5.16,39.79,6
9.870,400.00,5.07,39.69,7
9.786,450.00,5.11,39.37,6
10.034,500.00,4.98,39.05,7
10.162,550.00,4.92,38.91,6
10.243,600.00,4.88,38.42,7
10.098,650.00,4.95,38.36,6
10.245,700.00,4.88,38.05,7
10.151,750.00,4.93,38.17,6
10.374,800.00,4.82,38.22,7
10.124,850.00,4.94,38.17,6
10.403,900.00,4.81,38.01,7
10.249,950.00,4.88,37.88,6
10.463,1000.00,4.78,37.62,7
10.070,1050.00,4.97,37.97,6
10.307,1100.00,4.85,37.66,7
10.272,1150.00,4.87,38.12,6
10.372,1200.00,4.82,38.30,7
10.187,1250.00,4.91,38.12,6
10.480,1300.00,4.77,38.01,7
10.048,1350.00,4.98,37.97,6
10.428,1400.00,4.79,38.10,7
10.436,1450.00,4.79,38.67,7
10.260,1500.00,4.87,38.71,6
10.447,1550.00,4.79,39.30,7
10.313,1600.00,4.85,39.26,7
10.217,1650.00,4.89,39.13,7
10.280,1700.00,4.86,39.84,6
10.233,1750.00,4.89,39.82,7
10.207,1800.00,4.90,40.04,7
9.979,1850.00,5.01,39.78,7
10.224,1900.00,4.89,40.09,7
11.117,1950.00,4.50,43.90,7
10.692,2000.00,4.68,38.75,7
