Logan V48.39
rawFileName=C:\MinimaxData\rover39922 2002081405.raw
From=0.0, To=6:34.7
Time,Dist,AvVel,AvStkRate,#Strokes
11.672,50.00,4.28,42.40,7
8.578,100.00,5.83,41.96,6
8.776,150.00,5.70,40.65,6
8.934,200.00,5.60,39.06,6
9.083,250.00,5.50,38.51,6
9.100,300.00,5.49,37.97,5
9.286,350.00,5.38,38.02,6
9.439,400.00,5.30,37.69,6
9.426,450.00,5.30,36.90,6
9.440,500.00,5.30,36.90,6
9.469,550.00,5.28,36.95,6
9.526,600.00,5.25,36.31,5
9.581,650.00,5.22,36.28,6
9.668,700.00,5.17,36.59,6
9.752,750.00,5.13,35.97,6
9.783,800.00,5.11,35.42,6
9.689,850.00,5.16,34.14,5
9.977,900.00,5.01,34.21,6
10.027,950.00,4.99,34.13,6
9.864,1000.00,5.07,34.14,5
9.973,1050.00,5.01,34.17,6
9.793,1100.00,5.11,33.20,5
10.031,1150.00,4.98,33.19,6
9.878,1200.00,5.06,32.88,5
10.087,1250.00,4.96,31.55,6
10.211,1300.00,4.90,31.37,5
10.167,1350.00,4.92,31.01,5
10.169,1400.00,4.92,30.46,5
10.040,1450.00,4.98,30.65,5
10.178,1500.00,4.91,29.94,6
10.240,1550.00,4.88,29.27,4
10.206,1600.00,4.90,28.37,5
10.385,1650.00,4.81,28.04,5
10.422,1700.00,4.80,27.94,5
10.363,1750.00,4.83,28.30,5
10.302,1800.00,4.85,27.97,5
10.259,1850.00,4.87,28.44,5
10.259,1900.00,4.87,27.86,4
10.165,1950.00,4.92,28.92,5
10.484,2000.00,4.77,28.50,5
