Logan V48.39
rawFileName=C:\MinimaxData\rover23823 2002081530.raw
From=0.0, To=7:02.7
Time,Dist,AvVel,AvStkRate,#Strokes
12.153,50.00,4.11,42.35,7
9.479,100.00,5.27,41.05,7
9.518,150.00,5.25,39.79,6
9.610,200.00,5.20,38.27,6
9.915,250.00,5.04,35.71,6
10.025,300.00,4.99,35.21,6
10.071,350.00,4.96,34.64,6
10.280,400.00,4.86,34.68,6
10.338,450.00,4.84,33.56,6
10.394,500.00,4.81,33.38,5
10.479,550.00,4.77,33.56,6
10.423,600.00,4.80,34.09,6
10.418,650.00,4.80,33.98,6
10.635,700.00,4.70,33.90,6
10.522,750.00,4.75,33.98,6
10.569,800.00,4.73,34.13,6
10.615,850.00,4.71,33.98,6
10.590,900.00,4.72,33.30,6
10.603,950.00,4.72,33.52,6
10.770,1000.00,4.64,33.63,6
10.780,1050.00,4.64,33.44,6
10.848,1100.00,4.61,33.63,6
10.680,1150.00,4.68,33.48,6
10.741,1200.00,4.66,33.48,6
10.619,1250.00,4.71,33.71,6
10.769,1300.00,4.64,33.48,6
10.814,1350.00,4.62,33.90,6
10.873,1400.00,4.60,33.86,6
10.861,1450.00,4.60,33.44,6
10.928,1500.00,4.58,33.33,6
10.953,1550.00,4.56,33.78,6
10.866,1600.00,4.60,33.99,7
10.830,1650.00,4.62,33.78,6
10.855,1700.00,4.61,33.44,6
10.881,1750.00,4.60,33.75,6
11.050,1800.00,4.53,34.05,6
10.495,1850.00,4.76,34.92,6
10.435,1900.00,4.79,35.42,6
10.591,1950.00,4.72,36.18,7
10.418,2000.00,4.80,37.08,6
