Logan V48.39
rawFileName=C:\MinimaxData\rover56775 2002090632.raw
From=0.0, To=6:56.3
Time,Dist,AvVel,AvStkRate,#Strokes
12.499,50.00,4.00,38.01,7
9.169,100.00,5.45,40.60,6
9.289,150.00,5.38,39.37,6
9.425,200.00,5.31,38.17,6
9.544,250.00,5.24,37.17,6
9.726,300.00,5.14,37.08,6
9.826,350.00,5.09,36.90,6
9.975,400.00,5.01,36.76,6
10.002,450.00,5.00,36.63,6
10.061,500.00,4.97,36.59,6
10.138,550.00,4.93,36.99,6
10.192,600.00,4.91,35.93,7
10.207,650.00,4.90,35.97,6
10.316,700.00,4.85,36.45,6
10.169,750.00,4.92,35.93,6
10.300,800.00,4.85,35.84,6
10.252,850.00,4.88,35.80,6
10.261,900.00,4.87,35.71,6
10.306,950.00,4.85,35.38,6
10.508,1000.00,4.76,35.26,7
10.713,1050.00,4.67,35.25,6
10.555,1100.00,4.74,35.09,6
10.444,1150.00,4.79,35.09,6
10.510,1200.00,4.76,35.09,6
10.543,1250.00,4.74,35.57,7
10.552,1300.00,4.74,35.21,6
10.411,1350.00,4.80,34.56,6
10.629,1400.00,4.70,33.63,6
10.798,1450.00,4.63,33.59,6
10.844,1500.00,4.61,32.50,6
10.786,1550.00,4.64,31.91,6
10.941,1600.00,4.57,31.83,5
11.196,1650.00,4.47,31.35,6
11.136,1700.00,4.49,31.19,6
10.976,1750.00,4.56,31.68,6
10.873,1800.00,4.60,32.50,6
10.515,1850.00,4.75,34.92,6
10.591,1900.00,4.72,34.32,6
10.524,1950.00,4.75,34.13,6
10.555,2000.00,4.74,33.75,6
