Logan V48.39
rawFileName=C:\MinimaxData\rover56776 2002090755.raw
From=0.0, To=7:40.9
Time,Dist,AvVel,AvStkRate,#Strokes
12.675,50.00,3.94,41.92,8
9.702,100.00,5.15,42.15,7
9.947,150.00,5.03,41.10,6
10.104,200.00,4.95,39.30,7
10.382,250.00,4.82,38.59,7
10.435,300.00,4.79,38.51,6
10.700,350.00,4.67,37.34,7
10.888,400.00,4.59,37.62,7
10.682,450.00,4.68,37.08,6
10.978,500.00,4.55,36.59,7
11.090,550.00,4.51,35.93,7
11.175,600.00,4.47,35.59,6
11.266,650.00,4.44,35.61,7
11.473,700.00,4.36,34.99,7
11.502,750.00,4.35,35.29,7
11.539,800.00,4.33,34.88,6
11.751,850.00,4.26,34.32,7
11.611,900.00,4.31,34.29,7
11.855,950.00,4.22,34.01,6
11.856,1000.00,4.22,33.83,7
11.731,1050.00,4.26,32.19,6
11.818,1100.00,4.23,31.97,7
11.830,1150.00,4.23,32.02,6
11.772,1200.00,4.25,31.22,6
11.799,1250.00,4.24,30.86,6
11.986,1300.00,4.17,29.50,6
11.986,1350.00,4.17,29.41,6
12.224,1400.00,4.09,28.76,6
12.058,1450.00,4.15,28.67,5
12.090,1500.00,4.14,28.30,6
12.127,1550.00,4.12,28.04,6
12.162,1600.00,4.11,27.94,5
11.923,1650.00,4.19,28.33,6
11.563,1700.00,4.32,28.37,5
12.043,1750.00,4.15,28.06,6
11.742,1800.00,4.26,27.65,5
12.141,1850.00,4.12,27.37,6
11.962,1900.00,4.18,27.12,5
12.172,1950.00,4.11,26.34,6
12.179,2000.00,4.11,25.56,5
